Date,Open,High,Low,Close,Volume,Adj Close
18/01/2000,11.80001,11.90001,7.39999,7.39999,800,1.66427
01/02/2000,11.59998,11.59998,7.1,7.1,2700,1.5968
01/03/2000,10.00001,10.1,7.39999,10.1,347400,2.2715
03/04/2000,11.00001,11.00001,6.1,6.1,2200,1.3719
01/05/2000,6.1,10.00001,6.1,9.00001,104400,2.02411
01/06/2000,8.94001,9.06,6.49998,8,55200,1.79921
03/07/2000,9.00001,9.00001,6,6,16800,1.34941
01/08/2000,8.70002,9.00001,6.49998,7,12100,1.57431
01/09/2000,8.88001,8.88001,6.14,6.14,25200,1.38089
02/10/2000,8.80001,8.80001,6,6,100,1.34941
01/11/2000,8.47999,8.47999,5.19999,6.49998,17100,1.46186
01/12/2000,6.49998,6.90001,4.70002,6.14,2200,1.38089
01/01/2001,6.14,6.90001,5,5.49998,29900,1.23695
01/02/2001,6,6.08,4,4,47500,0.89961
01/03/2001,4.29999,4.80001,3.1,3.1,18700,0.69719
02/04/2001,4.70002,4.70002,3.25001,4.1,9100,0.9221
01/05/2001,4.1,4.65,3.49998,4.04998,370800,0.91085
01/06/2001,4.29999,5,3.80001,4,134200,0.89961
02/07/2001,4.00998,4.39001,2.88999,2.88999,19000,0.64996
01/08/2001,2.88999,4.49998,2.45998,3,15700,0.6747
03/09/2001,3,4,2,2,0,0.4498
01/10/2001,2,4,2,3.80001,1700,0.85463
01/11/2001,4,4,2.29999,3,9300,0.6747
03/12/2001,3.60002,4,2.29999,3,12100,0.6747
01/01/2002,3,4,3,3.60002,40800,0.80965
01/02/2002,3.60002,4.19999,3.39999,4.19999,19100,0.94458
01/03/2002,4.65,5.29999,4.65,5.19999,57300,1.16949
01/04/2002,5.19999,6.49998,3.19999,6.49998,59700,1.46186
01/05/2002,6.49998,8,6.49998,7.1,210300,1.5968
03/06/2002,7.1,7.2,6.74999,6.80001,108400,1.52933
01/07/2002,6.80001,7.49998,3.60002,7.49998,8900,1.68676
01/08/2002,7.04998,7.49998,6.70002,6.90001,166000,1.55182
02/09/2002,6.70002,7.1,6.70002,7.1,202000,1.5968
01/10/2002,7.29999,7.29999,7,7.2,47400,1.61929
01/11/2002,8,8,6.71,6.80001,27600,1.52933
02/12/2002,7.49998,7.78001,7,7,15800,1.57431
01/01/2003,7,7.35001,7,7.04998,117700,1.58555
03/02/2003,7.35001,7.35001,6.90001,7.04998,600,1.58555
03/03/2003,7.35001,7.35001,7.04998,7.04998,0,1.58555
01/04/2003,7.04998,8,7,7.80001,339700,1.75423
01/05/2003,7.80001,8.1,6,7.80001,179900,1.75423
02/06/2003,8,8.2,7.88999,8,188400,1.79921
01/07/2003,8.1,8.35001,8,8.21002,5000,1.84644
01/08/2003,8.47001,9.02998,8.29999,9.02998,671400,2.03086
01/09/2003,9.00001,9.02998,8,9.00001,5600,2.02411
01/10/2003,9.00001,9.00001,8,8.90001,32600,2.00162
03/11/2003,8.90001,9.00001,8.49998,9.00001,79900,2.02411
01/12/2003,9.49998,9.59998,9.00001,9.25002,88900,2.08034
01/01/2004,9.25002,11.29999,9.25002,11.25002,191100,2.53014
02/02/2004,12.00001,14.49999,11.25002,14.00001,547500,3.14862
01/03/2004,14.2,15.49999,13.90001,15.49999,708500,3.48597
01/04/2004,15.69998,18.69998,15.69998,17.10001,728100,3.84581
03/05/2004,17.10001,17.10001,15.65,16.69998,212100,3.75585
01/06/2004,16.80002,18.35002,16.2,18.14998,120800,4.08196
01/07/2004,18.25002,18.69998,17.49999,17.90001,269100,4.02574
02/08/2004,18.00001,18.02001,17.00001,18.00001,171800,4.04823
01/09/2004,18.10001,19.49999,18.10001,19.49999,237300,4.38557
01/10/2004,19.90001,22.49999,19.90001,22.33002,932300,5.02205
01/11/2004,22.49999,24.00001,22.49999,23.69999,405000,5.33016
01/12/2004,23.79998,24.00001,21.2,23.49999,1620100,5.28518
03/01/2005,23.65001,24.49999,22.59999,23.10999,399600,5.19747
01/02/2005,23.10001,23.79998,23.10001,23.49999,224900,5.28518
01/03/2005,23.49999,24.00001,19.49999,21.75998,252600,4.89385
01/04/2005,21.49999,22.85,19.00001,22.00001,262300,4.94783
02/05/2005,23.79998,23.79998,18.49999,21.3,577500,4.7904
01/06/2005,21.36,24.2,21.3,24.14999,259200,5.43137
01/07/2005,24.14999,25.49999,24.14999,25.00001,300400,5.62254
01/08/2005,25.00001,26.00002,24.79998,25.06001,463100,5.63603
01/09/2005,25.10001,28.00002,25.10001,27.98999,699300,6.29499
03/10/2005,28.00002,28.59999,26.49999,27.02001,173500,6.07684
01/11/2005,27.02001,27.20001,26.00002,26.49999,131800,5.95989
01/12/2005,26.49999,29.99,25.4,27.73998,2348300,6.23876
02/01/2006,27.73998,32.20001,26.49999,32.20001,1175200,7.24183
01/02/2006,32.4,36.00002,31.00002,35.53002,1004000,7.99075
01/03/2006,35.53002,37.89999,35.49002,37.59999,695900,8.45629
03/04/2006,37.51002,48.29989,37.5,47.00015,426500,10.5704
02/05/2006,47.00015,50.88993,40.99998,42.19007,1395700,9.48861
01/06/2006,42.50013,42.70012,38.20001,39.99998,868500,8.99605
03/07/2006,40.5,46.09998,40.5,43.30995,775900,9.74047
01/08/2006,43.30009,44.6101,41.79995,43.59988,526100,9.80567
01/09/2006,43.75018,45.8002,43.64998,45.24991,649100,10.17677
02/10/2006,45.24991,52.01021,45.10988,51.59996,592700,11.6049
01/11/2006,51.70016,60.00003,51.70016,59.29985,876000,13.33662
01/12/2006,59.29985,64.99983,57.00016,58.89001,586400,13.24445
01/01/2007,58.89001,68.00012,55.41993,66.50983,1235900,14.95815
01/02/2007,67.00016,73.99987,17.29998,18.36995,2070300,16.52571
01/03/2007,17.99994,20.79993,17.49997,20.42992,1054600,18.37887
02/04/2007,20.69993,21.19991,18.54992,18.69992,839200,16.82255
01/05/2007,18.69992,19.99996,18.29993,18.59992,650100,16.73259
01/06/2007,18.78995,19.34999,17.85991,18.97999,1762600,17.0745
02/07/2007,19.15,19.64998,17.10994,18.71993,1960500,16.84056
01/08/2007,18.54992,18.79991,15.69994,17.74996,675100,15.96796
03/09/2007,17.74996,19.20996,17.49997,18.07992,707700,16.2648
01/10/2007,17.99994,17.99994,15.58999,15.88997,1269500,14.29471
01/11/2007,15.98997,15.98997,12.49998,14.20996,1402900,12.78336
03/12/2007,13.99991,15.51997,13.79992,15.29996,802100,13.76393
01/01/2008,15.29996,15.29996,11.50002,13.88996,1620800,12.49548
01/02/2008,13.83996,14.10001,12.59997,12.84996,641200,11.5599
03/03/2008,12.74997,13.16001,11.80997,13.03999,838600,11.73085
01/04/2008,12.84996,14.89998,12.84996,13.83,838800,12.44155
01/05/2008,13.83,14.28994,12.64997,13.54993,1446400,12.18959
02/06/2008,13.58001,14.32998,11.13997,12.96002,995500,11.6589
01/07/2008,12.89996,13.38998,10.39996,11.30999,382300,10.17453
01/08/2008,11.35003,12,10.39996,11.25999,358000,10.12955
01/09/2008,11.19993,11.39992,8.10998,8.15998,388200,7.34076
01/10/2008,8.15998,8.94998,5.18998,7.00999,496500,6.30622
03/11/2008,7.66998,8.30998,5.70999,6.20999,414100,5.58654
01/12/2008,6.20999,6.89998,5.77999,6.22999,1546000,5.60453
01/01/2009,6.22999,6.44998,4.79999,4.96999,1469300,4.47103
02/02/2009,4.96999,5.18998,4.14999,4.23999,1746900,3.81432
02/03/2009,4.19999,4.37999,3.11999,4.15999,2581900,3.74235
01/04/2009,4.15999,6.99999,4.13999,5.59999,1925700,5.03778
01/05/2009,5.59999,7.90998,5.59999,7.29998,1583600,6.56711
01/06/2009,7.49999,7.73999,6.39998,7.47999,1195600,6.72904
01/07/2009,7.49999,7.84998,6.61998,7.72999,899000,6.95394
03/08/2009,7.71998,8.74998,7.49999,8.24998,2499800,7.42173
01/09/2009,8.25998,8.99998,7.99998,8.70998,1703100,7.83554
01/10/2009,8.73997,9.99997,8.24998,8.79998,2177900,7.98156
02/11/2009,8.79998,10.24997,8.54998,10.24997,1631800,9.29669
01/12/2009,10.23997,10.37994,9.18997,10.09998,1608500,9.16065
01/01/2010,10.09998,10.79995,9.64998,10.30993,1370000,9.35107
01/02/2010,10.30993,11.63995,9.95997,11.51994,1977400,10.44855
01/03/2010,11.41994,13.69993,11.35003,13.39994,2516200,12.1537
01/04/2010,13.44993,13.79992,12.81002,13.28998,1993000,12.05397
03/05/2010,13.03999,13.14995,11.65001,12.84996,1391900,12.02841
01/06/2010,12.79996,13.14995,12.02998,12.09999,1092900,11.32639
01/07/2010,12.09999,13.08999,11.9,12.54997,1100700,11.7476
02/08/2010,12.70993,12.84996,12.24999,12.37,915800,11.57914
01/09/2010,12.38992,12.94,12.29998,12.56999,840900,11.76634
01/10/2010,12.69001,12.74997,12.40994,12.54997,1445800,11.7476
01/11/2010,12.42,12.61999,11.50002,11.92998,1072500,11.16725
01/12/2010,12.14999,13.04995,11.85001,12.92994,1423100,12.10327
03/01/2011,13.02993,14.41991,12.91002,13.74992,1987900,12.87083
01/02/2011,13.68997,13.84992,12.69001,12.89996,1059600,12.07521
02/03/2011,12.34998,12.79996,11.63995,12.60993,695600,11.80373
04/04/2011,12.79001,13.97999,12.35994,13.08999,981200,12.43708
02/05/2011,12.91002,13.17993,11.70001,12.42,673100,11.80051
02/06/2011,12.52995,12.69997,11.72999,11.91992,783100,11.32537
01/07/2011,12.00996,14.07999,11.60001,13.28998,885400,12.6271
01/08/2011,13.22993,13.63001,10.92992,11.70001,689000,11.11643
01/09/2011,11.87998,12.23993,10.04998,10.09998,507200,9.5962
03/10/2011,10.11998,14.18995,9.53998,13.78996,1193200,13.10214
01/11/2011,13.31996,14.72,12.87994,13.78,2764600,13.09268
01/12/2011,13.74992,14.67997,12.74997,14.15001,811500,13.44422
02/01/2012,14.07999,15.78998,13.31996,14.69999,903200,13.96677
01/02/2012,14.79998,17.28992,14.69999,16.78994,1353300,15.95248
01/03/2012,16.7,18.29993,16.7,18.29993,1156300,17.38716
02/04/2012,17.82993,19.89997,17.5,17.9,810400,17.46045
01/05/2012,17.9,18.08,15.73,16.74,1121700,16.32894
01/06/2012,16.26,18.33,14.95,17.9,2346000,17.46045
02/07/2012,18.05,19.1,17.31,18.36,838100,17.90916
01/08/2012,18.31,19.33,17.9,18.89,1097100,18.42614
03/09/2012,18.89,20.1,18.21,20.04,932300,19.54791
01/10/2012,19.95,22.89,19.95,21,1065700,20.48433
01/11/2012,21,22.76,19.8,22.6,2976500,22.04504
03/12/2012,22.54,26.5,22.49,25.78,1597200,25.14696
01/01/2013,25.78,29.94,25.78,29.48,1939300,28.7561
01/02/2013,29.19,32.32,27.52,31.97,1688400,31.18496
01/03/2013,31.65,35.6,30.8,35.48,2128500,34.60876
01/04/2013,35.3,38.44,35.03,37.12,1878800,36.2085
01/05/2013,37.12,37.96,31.5,35.53,1681400,35.14664
03/06/2013,35.58,35.98,26.34,30.84,2576700,30.50724
01/07/2013,30.99,36.5,30.9,34.9,1454200,34.52344
01/08/2013,35.01,37.61,32.01,33.79,1567300,33.42542
02/09/2013,34.35,37.6,32.63,36.66,1855800,36.26445
01/10/2013,36.7,42.3,36.26,40.58,1359200,40.14215
01/11/2013,40.46,41.4,37.8,39.49,1645100,39.06391
02/12/2013,39.39,40.9,38.5,40.79,1082500,40.34988
01/01/2014,40.79,43.4,38.76,39.9,1690200,39.46949
03/02/2014,39.9,42.25,37.21,41.08,2159100,40.63676
