Date,Open,High,Low,Close,Volume,Adj Close
03/01/2000,14.6,14.72,11.2,11.5,3523200,2.6712
01/02/2000,11.56,12.84,10.08,10.2,3749100,2.3693
01/03/2000,10.2,16.1,10.2,14.06,7469000,3.2659
03/04/2000,14,14.52,11,12.8,1678000,2.9732
01/05/2000,12.8,14.8,11.46,12.9,2030900,2.9964
01/06/2000,13,14.32,12.2,13.6,2107800,3.159
03/07/2000,14.22,15,12.1,13.2,2087600,3.0661
01/08/2000,13.02,13.5,10.98,12.2,2838700,2.8338
01/09/2000,12.06,12.9,11.78,12.32,2816700,2.8617
02/10/2000,12.3,15,11.6,14.28,3517600,3.317
01/11/2000,14.28,14.98,12.2,12.24,2299600,2.8431
01/12/2000,12.24,13.26,11.7,13,1577800,3.0196
01/01/2001,13,17.1,12.5,16.5,5336700,3.8326
01/02/2001,16.4,16.4,14.8,15.34,1509600,3.5632
01/03/2001,15.34,16.8,14.3,14.97,1657100,3.4772
02/04/2001,14.9,15.9,12.72,14.76,2637400,3.4284
01/05/2001,14.76,20.5,14.6,19.73,9367500,4.5829
01/06/2001,19.7,21.7,18.59,18.99,4393800,4.411
02/07/2001,19,19.45,17.1,18.01,3575000,4.1834
01/08/2001,18,19,17,18.4,1909300,4.2739
03/09/2001,18.3,18.3,13.49,13.72,4074400,3.1869
01/10/2001,13.7,16,13.37,14.95,2789500,3.4726
01/11/2001,15.25,17.8,14.7,17.58,2519600,4.0835
03/12/2001,17.5,19.24,17,19.1,2111100,4.4365
01/01/2002,19.1,20.5,18.2,20.49,3750900,4.7594
01/02/2002,20.49,21.39,18.51,21.37,3699100,4.9638
01/03/2002,21.4,22.01,20.51,21.41,4811500,4.9731
01/04/2002,21.41,26.2,21.4,25.06,4890300,5.8209
01/05/2002,25.06,26.6,24.2,24.56,4052400,5.7048
03/06/2002,24.56,24.56,21.5,22.94,3378000,5.3285
01/07/2002,22.94,24.5,19.2,23.76,2669900,5.519
01/08/2002,23.73,24.7,20.9,24,4724800,5.5747
02/09/2002,24,24.86,21.74,22.99,2659000,5.3401
01/10/2002,23,24.15,21.3,22.61,2326900,5.2518
01/11/2002,22.6,23.6,19.19,23.3,2987200,5.4121
02/12/2002,23.5,25.51,23,25.5,2353200,5.9231
01/01/2003,25.5,27,23.8,25.66,2538400,5.9603
03/02/2003,25.66,26.5,24.49,25.97,2422700,6.0323
03/03/2003,25.5,26.11,24.5,24.99,4588600,5.8047
01/04/2003,24.99,29.4,24.7,28.63,2595500,6.6502
01/05/2003,28.63,30.35,27.75,30,3872800,6.9684
02/06/2003,30,30,28,29.5,3547900,6.8523
01/07/2003,29.3,31.1,27.6,28,3640900,6.5038
01/08/2003,28.1,29.4,26.6,29.39,9304900,6.8267
01/09/2003,29.39,34.5,29.39,33.16,4417600,7.7024
01/10/2003,33.25,36.65,33.25,36.01,3635300,8.3644
03/11/2003,36,41,34.49,37.51,3335900,8.7128
01/12/2003,37.75,39.15,35.55,39,1398100,9.0589
01/01/2004,39,40.1,36.6,37.57,6712500,8.7268
02/02/2004,39,43.7,39,40.45,8679500,9.3957
01/03/2004,40.45,44.4,40.45,43.93,6225400,10.204
01/04/2004,43.93,46.7,40.3,40.4,4679900,9.3841
03/05/2004,40.42,43.55,37.01,39.74,5549300,9.2308
01/06/2004,39.74,41.91,38.9,40.83,3591900,9.484
01/07/2004,40.83,42.2,37.4,42,3525400,9.7557
02/08/2004,42,45,41.55,44.84,3883000,10.4154
01/09/2004,44.84,56,44.2,53.78,7972800,12.492
