Date,Open,High,Low,Close,Volume,Adj Close
03/01/2000,39,45.19998,37.24998,45.19998,6900200,6.3789
01/02/2000,44.80002,45.79998,42.19998,43.30002,3041400,6.11076
01/03/2000,43.2,47.20002,42.79998,45,2121300,6.35067
03/04/2000,44.50002,44.7,37.99998,38.20002,1264800,5.39102
01/05/2000,38.20002,38.20002,30.70002,31.24998,1374500,4.41019
01/06/2000,31.69998,37.35,31.00002,33.04998,741000,4.66421
03/07/2000,34.00002,36.70002,32.20002,33,1237400,4.65716
01/08/2000,33,34.99998,31.30002,34.8,1181400,4.91119
01/09/2000,34.95,41.59998,34.2,41.20002,1199400,5.8144
02/10/2000,41.1,41.1,35.7,36.45,1019100,5.14404
01/11/2000,36,37.5,34.30002,34.95,627500,4.93236
04/12/2000,31.99998,36.9,31.69998,36.79998,877000,5.19344
02/01/2001,36,39.70002,35.50002,39.19998,2006400,5.53214
01/02/2001,39.19998,39.19998,34.5,34.5,1055800,4.86885
01/03/2001,34.63998,34.95,29.80002,32.80002,974800,4.62894
02/04/2001,33,34.00002,29.65002,29.74998,1023100,4.1985
03/05/2001,30.52002,37.30002,28.99998,37.00002,2840700,5.22167
01/06/2001,37.00002,40.51002,36.94002,38.85,1182200,5.48275
02/07/2001,38.85,40.00002,37.00002,37.83,1158000,5.3388
01/08/2001,37.83,39.79998,34.8,35.56002,2195400,5.01845
03/09/2001,35.4,35.4,24.69,26.4,1468300,3.72573
01/10/2001,26.4,27.49998,22.60002,22.99998,2784500,3.2459
01/11/2001,23.01,27.9,9,9.25,2159700,3.91625
03/12/2001,9.15,11.1,9.15,10.93,2000200,4.62752
02/01/2002,10,11.75,9.7,11.73,1201900,4.96623
01/02/2002,11.75,12.2,10.8,11.28,2045500,4.77571
01/03/2002,11.2,12.44,11,12.44,3314500,5.26682
01/04/2002,12.44,12.44,11.47,11.62,3005600,4.91965
02/05/2002,11.63,11.71,10.3,10.39,1937600,4.3989
03/06/2002,10.39,10.4,8.44,9.05,1794300,3.83157
01/07/2002,9.05,9.6,7.85,8.61,3761200,3.64529
01/08/2002,8.6,9.55,8.18,9.55,1560800,4.04326
02/09/2002,9.4,9.4,7.7,8.1,1733700,3.42936
01/10/2002,8.1,9.4,8.1,8.6,2023400,3.64105
01/11/2002,8.6,8.9,8.2,8.49,2153500,3.59448
02/12/2002,8.6,9,8.2,8.7,621300,3.68339
02/01/2003,8.7,9.21,8,8.1,1449200,3.42936
03/02/2003,8.06,8.2,7.7,8.14,1430000,3.4463
03/03/2003,8.14,8.6,7.9,8.1,853200,3.42936
01/04/2003,8.1,9.2,8.1,9.06,1453300,3.83581
02/05/2003,9.2,9.6,8.9,9.2,1152800,3.89508
02/06/2003,9.25,10.55,8.8,10.16,1561800,4.30152
01/07/2003,10.16,10.93,10,10.71,1276700,4.53438
01/08/2003,10.7,11.45,10.7,11.35,2467400,4.80534
01/09/2003,11.36,12,11.35,11.92,852700,5.04667
01/10/2003,11.92,12.5,11.5,12.33,1080000,5.22025
03/11/2003,12.33,12.4,11.5,12.26,1497100,5.19062
01/12/2003,12.35,12.4,11.59,12.16,1027800,5.14828
02/01/2004,12.16,14,12.16,13.58,5299300,5.74948
02/02/2004,14.5,15,13.06,13.61,5886700,5.76218
01/03/2004,13.7,14.85,12.81,14.81,1837100,6.27023
01/04/2004,14.75,16.3,14.1,14.29,1915900,6.05007
03/05/2004,14.3,15.64,13.81,14.7,1107200,6.22366
01/06/2004,14.7,16.5,14.5,16.34,693900,6.918
01/07/2004,16.5,17.15,15.85,16.93,925100,7.16779
02/08/2004,16.93,17.21,15.9,16.8,790700,7.11275
01/09/2004,16.8,19.8,16,19.52,831500,8.26434
01/10/2004,19.5,20.5,18.9,19.29,1239100,8.16697
01/11/2004,19.29,21.3,19.15,20.95,2481800,8.86977
01/12/2004,21,21.5,19.99,20.51,1360900,8.68349
03/01/2005,20.66,23.41,20.4,22.46,2228900,9.50907
01/02/2005,22.46,23.9,21.98,22.85,2474400,9.67419
01/03/2005,22.85,23.2,21,21.9,1848800,9.27198
01/04/2005,22.2,23.45,19.89,22.9,1476400,9.69536
02/05/2005,22.9,24.5,21.9,23.2,1000000,9.82237
01/06/2005,23.26,24.3,22.7,23.3,983600,9.86471
01/07/2005,23.3,24.8,22.5,23.86,1611000,10.1018
01/08/2005,24.01,24.5,21.51,22.25,1839300,9.42017
01/09/2005,22.5,25.3,18.2,18.7,3668400,7.91717
03/10/2005,18.7,18.75,16.5,16.6,5913500,7.02808
01/11/2005,16.6,17.24,16.2,16.6,2793200,7.02808
01/12/2005,16.6,18.15,16.5,18.12,1328500,7.67161
02/01/2006,18.12,19.05,17,17.5,777300,7.40912
01/02/2006,17.78,18.09,15.25,16.44,1485800,6.96034
01/03/2006,16.79,16.9,15.44,16.4,1213200,6.9434
03/04/2006,16.5,17.65,16.05,17.53,1144800,7.42182
02/05/2006,17.72,17.75,15.74,16.2,1834800,6.85873
01/06/2006,16.25,17.15,15.5,16.56,1467900,7.01114
03/07/2006,17,18,16.45,16.48,954300,6.97727
01/08/2006,16.11,18,16,17.42,1545300,7.37525
01/09/2006,17.3,19.25,17.25,19.01,952600,8.04842
02/10/2006,19,21.2,18.07,19.55,1049600,8.27704
01/11/2006,19.7,23.02,19.7,22.3,917600,9.44133
01/12/2006,22.3,23.3,20.68,21.24,1604900,8.99255
01/01/2007,21.24,22.35,20.4,21.7,3597000,9.18731
01/02/2007,21.7,21.8,19,20.13,2101500,8.5226
01/03/2007,20.2,22.25,19.94,21.69,1159100,9.18307
02/04/2007,21.69,22,20.5,21.8,613500,9.22964
01/05/2007,21.8,24.9,21.4,23.43,1269500,9.91975
01/06/2007,23.36,26.1,22.43,26.04,1970000,11.02477
02/07/2007,26,31.5,25.53,30.51,8110800,12.91727
01/08/2007,30.52,30.52,26.02,26.89,3424700,11.38464
03/09/2007,26.89,28.1,23,26.2,1560900,11.09251
