Date,Open,High,Low,Close,Volume,Adj Close
23/05/2002,16.190001,17.4,15,15.07,26057500,1.076429
03/06/2002,15.120001,17.25,11.79,13.99,4171200,0.999286
01/07/2002,14,18.190001,11.900001,13.35,3497400,0.953571
01/08/2002,13.3,13.99,9.89,13.11,3045600,0.936429
03/09/2002,13.11,13.67,9.65,9.7,3029300,0.692857
01/10/2002,9.93,10.299999,4.85,8.97,7426300,0.640714
01/11/2002,8.8,11.2,7.75,10.849999,5145000,0.775
02/12/2002,10.400001,13,9.58,11.01,5070000,0.786429
02/01/2003,11.85,13.39,10.67,13.2,5715000,0.942857
03/02/2003,13.14,17.200001,11.54,17.109999,7424000,1.222143
03/03/2003,16.91,22.33,14.900001,20.35,11981600,1.453571
01/04/2003,20.5,24.689999,18.559999,22.799999,16554000,1.628571
01/05/2003,22.67,25.93,20.529999,22.5,13988800,1.607143
02/06/2003,22.51,26.35,18.049999,25.550001,23875200,1.825
01/07/2003,25.6,28.6,22.550001,26.200001,14021100,1.871429
01/08/2003,25.92,33.779999,22.6,33.329998,10684900,2.380714
02/09/2003,33.23,40.239998,30.419998,33.560001,18091000,2.397143
01/10/2003,33.400002,61,33.400002,57.300003,31633600,4.092857
03/11/2003,57.389999,60.549995,44.18,49,32260100,3.5
01/12/2003,49.419998,59.23,43.049999,54.689999,22605600,3.906429
02/01/2004,57.5,79.540001,53.790001,73.409996,48398500,5.243571
02/02/2004,74.200005,78.949997,30.260002,34.400002,40126700,4.914286
01/03/2004,34.349998,35.459999,27.67,34.119999,18857600,4.874286
01/04/2004,36.09,38.619999,25.17,25.360001,23946300,3.622857
03/05/2004,25.299999,33.27,25.289999,32.919998,14676100,4.702857
01/06/2004,32.389999,36.57,28.350002,36,13729000,5.142857
01/07/2004,35.700001,36.07,18.5,20.5,27790600,2.928571
02/08/2004,19.84,20.4,13.85,13.95,13656600,1.992857
01/09/2004,14.01,18.1,13.88,15.420001,17247700,2.202857
01/10/2004,17.450001,19.6,9.25,9.469999,46447800,1.352857
01/11/2004,9.48,12.28,9.35,11.38,19641800,1.625714
01/12/2004,11.42,13.82,11.05,12.33,17377900,1.761429
03/01/2005,12.599999,13.12,10.53,11.5,14103000,1.642857
01/02/2005,11.42,12.2,10.009999,10.700001,8669000,1.528571
01/03/2005,10.700001,11.05,8.91,10.849999,8288000,1.55
01/04/2005,10.9,13,10.51,11.55,8755300,1.65
02/05/2005,11.530001,19.27,11.320001,14.29,19766600,2.041429
01/06/2005,14.2,17.84,14.2,16.41,8238000,2.344286
