Date,Open,High,Low,Close,Volume,Adj Close
03/01/2000,4.4,5,2.81,2.81,19000,2.1518
01/02/2000,4,5,3,4.8,9900,3.67567
01/03/2000,4.8,6.5,3,6,20200,4.59459
03/04/2000,6,6.5,3,6,7100,4.59459
01/05/2000,6,6,3,4.5,1700,3.44594
01/06/2000,5.98,7.14,3.2,7.1,5146500,5.43693
03/07/2000,7.1,7.6,4,7.1,840000,5.43693
01/08/2000,7.6,7.6,4,4,7900,3.06306
01/09/2000,7.1,8,4,4.4,221600,3.36936
02/10/2000,8.1,8.1,4,7.1,5600,5.43693
01/11/2000,7.1,7.1,4,7,1000,5.36035
06/12/2000,7,7,4,4,168000,3.06306
02/01/2001,7,7,4,4.3,1000,3.29279
01/02/2001,6.5,6.95,4.3,4.3,0,3.29279
01/03/2001,7,7,4,4.3,0,3.29279
02/04/2001,5.9,7,4.3,7,110600,5.36035
03/05/2001,7,7,4.3,4.3,200,3.29279
01/06/2001,6.99,7,4.3,4.3,1100,3.29279
02/07/2001,6.99,7,4,7,138700,5.36035
02/08/2001,7.1,7.1,7,7,227468100,5.36035
10/09/2001,7,7.3,5.5,7,1300,5.36035
03/10/2001,7.14,7.14,7,7,625100,5.36035
01/11/2001,7,7.01,7,7,11300,5.36035
06/12/2001,7,7,7,7,15300,5.36035
14/01/2002,7,7,4.3,7,5900,5.36035
04/02/2002,7,7.5,7,7,5300,5.36035
04/03/2002,7,7,7,7,8800,5.36035
08/04/2002,7,7.5,4,4,300,3.06306
02/05/2002,7.5,7.5,4,7,6200,5.36035
07/06/2002,7,7,7,7,14400,5.36035
08/07/2002,7,7,4,4,0,3.06306
08/08/2002,7,7,3.5,6.5,1300,4.97747
02/09/2002,7,7,6.5,6.5,0,4.97747
14/10/2002,6.9,7,6.9,7,0,5.36035
01/11/2002,10,10,7,7,0,5.36035
13/12/2002,7,7,5.95,5.96,17100,4.56396
02/01/2003,7,7,4,7,0,5.36035
10/02/2003,7,10.8,5.3,5.35,3500,4.09684
03/03/2003,5.5,7,3.5,5.34,0,4.08918
01/04/2003,7,7,5.34,7,0,5.36035
02/05/2003,7,7,5.4,7,900,5.36035
02/06/2003,7,7,5.4,5.5,900,4.2117
01/07/2003,5.5,6,5.4,5.5,2000,4.2117
06/08/2003,5.5,5.5,4.66,4.7,500,3.59909
01/09/2003,5.5,9,4.25,5.5,1800,4.2117
01/10/2003,5.4186,9,5.2,5.75,1000,4.40315
03/11/2003,5.55,10,5.48,6.5,1900,4.97747
01/12/2003,10,10,6,6,100,4.59459
02/01/2004,10,10,6,7.3,0,5.59008
02/02/2004,10,11,6.5,7.1,14200,5.43693
01/03/2004,11,12.5,7.1,9.08,2025400,6.95314
01/04/2004,12.5,15,8.5,11,5100,8.42341
03/05/2004,11,12.5,8.5,11,12800,8.42341
01/06/2004,11,11,10.3,10.3,5400,7.88737
01/07/2004,10.3,11.5,10.3,11.1,2100,8.49999
02/08/2004,11.1,11.5,10.55,10.55,0,8.07881
01/09/2004,10.55,11.5,10.3,10.39,12500,7.95629
01/10/2004,10.4,10.55,9.7,10.55,28100,8.07881
01/11/2004,10.55,10.55,10.3,10.39,400,7.95629
01/12/2004,10.39,10.39,10,10,0,7.65764
03/01/2005,10.34,10.34,10.25,10.25,0,7.84909
01/02/2005,10.25,10.3,10,10,0,7.65764
01/03/2005,10,10,8.5,8.88,1300,6.79999
01/04/2005,8.88,10,6,6,400,4.59459
02/05/2005,9,9,6,8.69,2400,6.65449
01/06/2005,8.69,9,6.5,7.9,3200,6.04954
01/07/2005,7.9,10,7,9.01,6600,6.89954
01/08/2005,9,11,8.52,11,3200,8.42341
01/09/2005,11,11,10.5,10.5,0,8.04053
03/10/2005,10.5,11,7,9.1,2600,6.96846
01/11/2005,11,12.5,9.1,9.6,14300,7.35134
01/12/2005,10.59,12.5,9,9.98,33100,7.64233
02/01/2006,11,11,9,10,54800,7.65764
01/02/2006,10.3,10.3,9,9.5,200,7.27476
01/03/2006,10,10,8,8,28700,6.12612
03/04/2006,9,10.5,7.85,9,7000,6.89188
02/05/2006,11,12,7.85,11,40100,8.42341
01/06/2006,10,13.5,7.85,13.5,4100,10.33782
03/07/2006,13.5,18,12,13.5,6100,10.33782
01/08/2006,18,18,13.5,13.5,500,10.33782
01/09/2006,15.5,15.5,13.5,13.5,300,10.33782
02/10/2006,15.5,18.5,13.5,18.5,7300,14.16664
01/11/2006,18.5,18.5,14.5,15.5,0,11.86935
01/12/2006,15.5,18.5,13.5,13.5,0,10.33782
01/01/2007,13.5,18.5,13.5,15.5,0,11.86935
01/02/2007,18.5,18.5,15.5,15.5,0,11.86935
01/03/2007,18.49,19,15.5,18.5,300,14.16664
02/04/2007,18.5,25,15.5,18.5,400,14.16664
01/05/2007,18.5,32.2,18.5,18.5,0,14.16664
01/06/2007,24,26,13.5,18.5,100,14.16664
02/07/2007,18.5,22,15.5,21,1500,16.08105
01/08/2007,21.1,23.1,15.5,22.73,1300,17.40582
03/09/2007,23.1,23.1,15.5,15.5,100,11.86935
01/10/2007,16.1,23,15.5,15.5,100,11.86935
01/11/2007,23,23,15.5,15.5,0,11.86935
03/12/2007,15.5,20.5,15.5,20,0,15.31529
01/01/2008,20,20.5,20,20,0,15.31529
01/02/2008,19.98,20,19.98,19.99,0,15.30763
03/03/2008,19.74,20,19,19.99,0,15.30763
01/04/2008,19.94,19.94,19.69,19.8,0,15.16214
01/05/2008,19.8,20,18,18,0,13.78376
02/06/2008,19.9,20,17.41,17.41,100,13.33196
01/07/2008,17.41,17.41,14,17.3,300,13.24772
01/08/2008,17.3,17.41,17.3,17.4,0,13.3243
01/09/2008,17.4,17.4,16.8,17,400,13.01799
01/10/2008,17,17,16.92,17,0,13.01799
03/11/2008,17,17,15.4,16.2,500,12.40538
01/12/2008,16.19,16.3,16.15,16.3,0,12.48196
01/01/2009,16.3,16.3,16,16,0,12.25223
02/02/2009,16,16.5,16,16.1,0,12.32881
02/03/2009,16.1,16.3,16.05,16.05,0,12.29052
01/04/2009,16.05,16.3,15.5,15.9,0,12.17565
01/05/2009,16,16,8,15.75,0,12.06079
01/06/2009,15.75,16,15,15.5,0,11.86935
01/07/2009,15.44,16,14.99,15,0,11.48647
03/08/2009,16,16,14,15,0,11.48647
01/09/2009,15,16,14,14.5,100,11.10358
01/10/2009,15,15.5,13.99,13.99,500,10.71304
02/11/2009,13.99,14,13,13,700,9.95494
01/12/2009,13,14.6,12.64,14.6,600,11.18016
01/01/2010,13.3,14.6,13,13.8,100,11.06943
01/02/2010,13.2,14.8,13.2,14.8,500,11.87157
01/03/2010,14.8,15.75,14.8,15.75,0,12.63359
01/04/2010,15.75,15.75,15.75,15.75,0,12.63359
03/05/2010,15.8,16.75,15.8,16.75,200,13.43572
01/06/2010,16.75,25,16.75,25,0,20.05332
01/07/2010,25,25,12.15,12.15,0,9.74591
02/08/2010,15.8,15.8,12.15,12.15,0,9.74591
01/09/2010,12.15,16.8,12.15,16.8,200,13.47583
24/12/2010,16.7,16.7,16.7,16.7,158700,13.39562
08/02/2011,15,16.5,15,16.5,30500,13.65101
17/03/2011,16,16,16,16,200,13.23734
06/04/2011,16.5,16.5,14.51,15.25,244800,12.61684
07/07/2011,15,15,15,15,9800,12.41001
07/11/2011,13.85,13.85,13.15,13.15,1900,10.87944
01/12/2011,13.15,15,13.15,15,2100,12.41001
02/01/2012,15,15,15,15,0,12.41001
01/02/2012,15,16,15,15,400,13.59165
01/03/2012,15,16,14.95,16,0,14.49776
02/04/2012,16,16,14,14,1600,12.68554
01/05/2012,14,14,14,14,3000,12.68554
01/06/2012,14,14,14,14,0,12.68554
02/07/2012,14,16,14,16,400,14.49776
01/08/2012,16,30,14,30,600,27.1833
03/09/2012,30.2,36.75,29.95,35.07,13103900,32.22241
01/10/2012,34.83,38.2,33.9,35.71,19646000,32.81044
01/11/2012,36.25,38.35,35.01,37.98,3172700,34.89613
03/12/2012,38.23,43,38.09,41.82,2118400,38.42433
01/01/2013,41.82,45.55,37.6,39.26,5691600,36.07219
01/02/2013,39.32,40.2,35.68,38.16,3053200,35.06151
01/03/2013,37.94,41.16,36.2,37.25,2809100,34.2254
01/04/2013,37.75,40.05,36.4,39.27,3641200,36.08138
01/05/2013,39.27,42.65,37.03,41.21,18411700,37.86386
03/06/2013,41,41.99,34.73,37.01,7687300,34.00489
01/07/2013,37.2,38.03,33.14,37.04,4947300,34.03245
01/08/2013,37.17,41.85,36.13,36.39,6272500,33.94152
02/09/2013,36.61,37.99,35.5,36.22,4171400,33.78296
01/10/2013,36.1,37.75,34.15,36.52,2839600,34.06277
01/11/2013,36.15,37.65,34.2,37.36,3808400,34.84626
02/12/2013,36.98,38.44,34.48,35.5,4215300,33.76591
01/01/2014,35.5,35.5,29.18,29.96,6411900,28.49652
03/02/2014,29.96,30.2,27.15,29.24,4972900,27.81169
03/03/2014,29.2,32.1,27.29,31.99,3901200,30.42736
01/04/2014,31.83,32.12,29.04,31.11,3981500,29.59035
01/05/2014,31.11,36.99,31.11,34.19,7370500,32.51989
02/06/2014,35.15,35.22,33.34,34.44,3748300,32.75768
01/07/2014,34.6,36.8,33.53,35.09,2652200,33.37593
01/08/2014,35.61,39.37,34.87,39.16,3239100,37.24712
01/09/2014,38.95,39.3,35.43,36.33,2287400,34.55536
01/10/2014,36.15,37.04,33.24,35.88,3042500,34.12735
03/11/2014,36.24,36.24,30.43,31.44,4165200,29.90423
01/12/2014,31.59,31.98,27.37,30.84,3321400,29.83246
01/01/2015,30.84,32.45,27.7,31.74,3468100,30.70305
02/02/2015,31.74,34.99,31.6,32.98,2918900,31.90254
02/03/2015,32.7,35.11,32.01,33.35,3529200,32.26046
01/04/2015,33.7,34.5,30.78,31.26,2927200,30.23874
01/05/2015,31.26,31.7,28.9,28.98,4034900,28.5246
01/06/2015,28.8,29.88,27.33,29.04,5673800,28.58365
01/07/2015,29.5,30,27.59,28.65,2925800,28.19978
03/08/2015,28.45,29.95,23.49,26.12,3963200,25.70954
01/09/2015,25.9,26.7,24.2,25.04,3814700,24.64651
01/10/2015,25,31.49,24.2,30.35,4650800,29.87307
02/11/2015,30.35,33.39,29.81,32.21,4281100,31.70384
01/12/2015,32.21,32.21,29,30.25,3880200,30.25
01/01/2016,30.25,30.25,25.81,27.92,3555500,27.92
01/02/2016,27.92,29.69,26.25,29.06,4280800,29.06
01/03/2016,29.45,32.13,28.6,31.35,3972000,31.35
01/04/2016,31.35,31.35,30.67,30.96,8051600,30.96
